Iteracao,Tempo de Execucao,Memoria Atual,Memoria Pico,Mochila,Valor Total
161,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
162,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
163,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
164,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
165,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
166,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
167,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
168,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
169,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
170,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
171,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
172,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
173,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
174,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
175,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
176,0.008012056350708008,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
177,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
178,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
179,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
180,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
181,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
182,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
183,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
184,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
185,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
186,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
187,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
188,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
189,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
190,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
191,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
192,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
193,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
194,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
195,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
196,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
197,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
198,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
199,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
200,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
201,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
202,0.008010387420654297,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
203,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
204,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
205,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
206,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
207,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
208,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
209,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
210,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
211,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
212,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
213,0.0,0.00252,0.00464,"[(90, 1, 1), (91, 2, 1), (59, 2, 1), (85, 3, 1), (81, 3, 1), (78, 3, 1), (75, 3, 1), (74, 3, 1), (69, 3, 1), (45, 2, 1), (45, 2, 1), (22, 1, 1), (65, 3, 1), (76, 4, 1), (69, 4, 1), (86, 5, 1), (88, 6, 1), (78, 6, 1), (92, 7, 1), (73, 6, 1), (57, 5, 1), (97, 9, 1), (66, 7, 1), (64, 7, 1), (8, 1, 1), (80, 10, 0.2)]",1749.0
